Date,ball1,ball2,ball3,ball4,ball5,ball6
15.06.11,26,48,52,61,75,79
15.06.13,19,35,36,38,45,80
15.06.16,6,28,55,57,78,83
15.06.18,18,21,28,62,84,90
15.06.20,6,11,21,65,66,85
15.06.23,20,24,26,33,42,80
15.06.25,18,46,63,68,73,79
15.06.27,17,22,45,48,53,61
15.06.30,4,11,16,25,34,59
15.07.02,8,17,30,61,78,88
15.07.04,8,30,38,51,62,66
15.07.07,19,25,31,78,83,88
15.07.09,8,54,59,66,86,89
15.07.11,8,30,34,39,42,58
15.07.14,12,17,32,47,74,86
15.07.16,22,27,29,49,69,87
15.07.18,22,42,47,62,70,72
15.07.21,1,21,63,70,79,84
15.07.23,33,41,44,48,68,75
15.07.25,2,20,21,40,45,65
15.07.28,4,26,34,66,67,81
15.07.30,13,18,25,26,35,61
15.08.01,2,26,34,58,80,81
15.08.04,34,53,77,78,83,89
15.08.06,2,27,36,39,53,79
15.08.08,3,7,17,26,55,72
15.08.11,17,25,32,42,71,85
15.08.13,4,17,34,41,66,78
15.08.17,1,4,50,70,71,76
15.08.18,20,30,45,50,76,86
15.08.20,4,14,31,68,70,74
15.08.22,6,7,9,14,17,35
15.08.25,3,18,19,65,81,88
15.08.27,2,4,12,40,50,80
15.08.29,7,28,44,55,57,78
15.09.01,13,30,38,48,50,77
15.09.03,13,18,19,49,78,87
15.09.05,24,30,36,42,71,86
15.09.08,41,50,54,60,75,88
15.09.10,10,14,15,34,75,88
15.09.12,11,24,46,48,68,82
15.09.15,9,17,20,32,35,56
15.09.17,8,9,42,71,78,79
15.09.19,9,32,40,49,52,60
15.09.22,10,26,50,55,62,81
15.09.24,1,32,36,61,78,80
15.09.26,1,37,69,74,77,89
15.09.29,17,25,41,45,57,82
15.10.01,2,17,21,49,69,74
15.10.03,2,4,14,31,43,61
15.10.06,8,11,17,27,62,84
15.10.08,23,32,33,55,84,90
15.10.10,32,41,45,47,78,90
15.10.13,35,36,63,71,75,89
15.10.15,7,9,16,24,32,40
15.10.17,4,6,61,63,65,72
15.10.20,18,34,58,60,64,88
15.10.22,1,6,32,50,51,81
15.10.24,9,14,33,38,46,87
15.10.27,14,15,48,50,74,83
15.10.29,4,16,40,57,71,84
15.10.31,6,25,26,52,86,88
15.11.03,30,41,47,71,79,86
15.11.05,17,21,29,33,43,62
15.11.07,2,19,22,46,51,54
15.11.10,8,31,33,38,66,77
15.11.12,19,22,31,41,54,87
15.11.14,19,56,73,84,85,86
15.11.17,27,29,39,54,59,74
15.11.19,25,28,44,52,87,89
15.11.21,13,25,33,53,75,83
15.11.24,52,54,70,80,82,84
15.11.26,12,36,45,67,77,88
15.11.28,20,23,28,51,65,81
15.12.01,31,39,55,58,85,87
15.12.03,38,46,53,65,77,84
15.12.05,1,28,34,42,49,77
15.12.09,21,54,62,63,82,83
15.12.10,1,19,20,56,60,83
15.12.12,18,20,46,47,55,66
15.12.15,5,30,36,63,84,85
15.12.17,11,44,56,81,83,87
15.12.19,7,22,46,50,55,73
15.12.22,18,22,23,57,60,69
15.12.24,6,8,24,28,36,63
15.12.28,5,38,48,52,81,88
15.12.29,15,20,57,72,76,89
15.12.31,15,26,29,77,81,90
16.01.02,1,17,39,41,56,65
16.01.05,7,20,40,56,60,90
16.01.07,10,38,61,62,74,86
16.01.09,20,26,36,50,51,74
16.01.12,3,9,28,42,50,79
16.01.14,5,8,17,41,46,87
16.01.16,11,17,48,52,70,90
